"source","target","weight"
"PADME","R2-D2",22
"QUI-GON","R2-D2",14
"ANAKIN","R2-D2",32
"R2-D2","WATTO",3
"C-3PO","R2-D2",10
"KITSTER","R2-D2",2
"NUTE GUNRAY","QUI-GON",1
"PK-4","TC-14",1
"OBI-WAN","TC-14",1
"QUI-GON","TC-14",1
"OBI-WAN","QUI-GON",26
"NUTE GUNRAY","TC-14",1
"DOFINE","NUTE GUNRAY",1
"DOFINE","TC-14",1
"NUTE GUNRAY","RUNE",8
"RUNE","TEY HOW",2
"NUTE GUNRAY","TEY HOW",1
"CAPTAIN PANAKA","EMPEROR",3
"EMPEROR","SIO BIBBLE",1
"CAPTAIN PANAKA","SIO BIBBLE",3
"JAR JAR","QUI-GON",22
"JAR JAR","OBI-WAN",15
"JAR JAR","TARPALS",2
"BOSS NASS","QUI-GON",2
"BOSS NASS","OBI-WAN",2
"BOSS NASS","JAR JAR",2
"EMPEROR","NUTE GUNRAY",6
"EMPEROR","RUNE",3
"NUTE GUNRAY","SIO BIBBLE",2
"JAR JAR","SIO BIBBLE",1
"CAPTAIN PANAKA","JAR JAR",7
"QUI-GON","SIO BIBBLE",2
"CAPTAIN PANAKA","QUI-GON",9
"CAPTAIN PANAKA","PADME",7
"PADME","QUI-GON",16
"PADME","SIO BIBBLE",1
"CAPTAIN PANAKA","OBI-WAN",7
"OBI-WAN","RIC OLIE",3
"JAR JAR","RIC OLIE",1
"QUI-GON","RIC OLIE",2
"CAPTAIN PANAKA","RIC OLIE",2
"JAR JAR","PADME",10
"QUI-GON","WATTO",6
"ANAKIN","WATTO",5
"PADME","WATTO",3
"ANAKIN","QUI-GON",22
"ANAKIN","PADME",41
"JAR JAR","SEBULBA",2
"ANAKIN","SEBULBA",2
"QUI-GON","SEBULBA",2
"PADME","SEBULBA",2
"ANAKIN","JAR JAR",12
"ANAKIN","JIRA",2
"JIRA","QUI-GON",2
"JIRA","PADME",1
"ANAKIN","SHMI",8
"JAR JAR","SHMI",3
"QUI-GON","SHMI",8
"PADME","SHMI",5
"ANAKIN","C-3PO",10
"C-3PO","PADME",12
"OBI-WAN","SIO BIBBLE",1
"DARTH MAUL","EMPEROR",3
"ANAKIN","KITSTER",3
"ANAKIN","WALD",2
"KITSTER","WALD",1
"JAR JAR","KITSTER",1
"KITSTER","QUI-GON",2
"JAR JAR","WALD",1
"QUI-GON","WALD",2
"ANAKIN","OBI-WAN",46
"OBI-WAN","SHMI",1
"C-3PO","WATTO",1
"KITSTER","WATTO",1
"C-3PO","QUI-GON",1
"C-3PO","KITSTER",1
"KITSTER","PADME",1
"FODE/BEED","JABBA",1
"JABBA","SHMI",1
"SEBULBA","SHMI",1
"ANAKIN","JABBA",1
"JABBA","JAR JAR",1
"JABBA","PADME",1
"JABBA","SEBULBA",1
"JABBA","QUI-GON",1
"FODE/BEED","JAR JAR",2
"FODE/BEED","PADME",1
"GREEDO","QUI-GON",1
"ANAKIN","GREEDO",1
"GREEDO","WALD",1
"KITSTER","SHMI",1
"ANAKIN","CAPTAIN PANAKA",2
"ANAKIN","RIC OLIE",4
"EMPEROR","VALORUM",2
"EMPEROR","JAR JAR",5
"EMPEROR","QUI-GON",1
"JAR JAR","VALORUM",1
"QUI-GON","VALORUM",1
"MACE WINDU","QUI-GON",2
"KI-ADI-MUNDI","QUI-GON",2
"QUI-GON","YODA",3
"QUI-GON","RABE",1
"KI-ADI-MUNDI","MACE WINDU",4
"MACE WINDU","YODA",16
"ANAKIN","MACE WINDU",9
"MACE WINDU","RABE",1
"KI-ADI-MUNDI","YODA",4
"ANAKIN","KI-ADI-MUNDI",2
"KI-ADI-MUNDI","RABE",1
"ANAKIN","YODA",9
"RABE","YODA",1
"ANAKIN","RABE",1
"BAIL ORGANA","EMPEROR",6
"BAIL ORGANA","VALORUM",1
"OBI-WAN","YODA",19
"MACE WINDU","OBI-WAN",9
"KI-ADI-MUNDI","OBI-WAN",1
"BOSS NASS","PADME",2
"DARTH MAUL","NUTE GUNRAY",3
"ANAKIN","BOSS NASS",1
"BOSS NASS","CAPTAIN PANAKA",1
"OBI-WAN","PADME",9
"EMPEROR","GENERAL CEEL",1
"GENERAL CEEL","NUTE GUNRAY",1
"DARTH MAUL","GENERAL CEEL",1
"DARTH MAUL","RUNE",1
"BRAVO TWO","RIC OLIE",4
"ANAKIN","BRAVO TWO",2
"GENERAL CEEL","JAR JAR",1
"NUTE GUNRAY","PADME",2
"DOFINE","TEY HOW",1
"BRAVO THREE","BRAVO TWO",2
"BRAVO THREE","RIC OLIE",2
"ANAKIN","BRAVO THREE",1
"EMPEROR","PADME",5
"EMPEROR","SENATOR ASK AAK",2
"EMPEROR","ORN FREE TAA",2
"ORN FREE TAA","SENATOR ASK AAK",1
"EMPEROR","MACE WINDU",3
"EMPEROR","YODA",2
"EMPEROR","KI-ADI-MUNDI",1
"BAIL ORGANA","MACE WINDU",2
"BAIL ORGANA","YODA",8
"BAIL ORGANA","KI-ADI-MUNDI",1
"CAPTAIN TYPHO","JAR JAR",1
"CAPTAIN TYPHO","OBI-WAN",2
"ANAKIN","CAPTAIN TYPHO",3
"OBI-WAN","PK-4",1
"ANAKIN","SIO BIBBLE",1
"PADME","SOLA",1
"ANAKIN","SOLA",1
"JOBAL","SOLA",2
"RUWEE","SOLA",1
"JOBAL","PADME",1
"PADME","RUWEE",1
"ANAKIN","JOBAL",1
"ANAKIN","RUWEE",3
"JOBAL","RUWEE",1
"OBI-WAN","TAUN WE",5
"LAMA SU","TAUN WE",2
"LAMA SU","OBI-WAN",6
"BOBA FETT","TAUN WE",2
"BOBA FETT","JANGO FETT",3
"BOBA FETT","OBI-WAN",1
"JANGO FETT","TAUN WE",1
"JANGO FETT","OBI-WAN",1
"C-3PO","OWEN",2
"BERU","C-3PO",1
"C-3PO","CLIEGG",1
"ANAKIN","OWEN",3
"ANAKIN","BERU",1
"ANAKIN","CLIEGG",2
"BERU","OWEN",1
"OWEN","PADME",4
"CLIEGG","OWEN",2
"BERU","PADME",1
"BERU","CLIEGG",1
"CLIEGG","PADME",2
"BAIL ORGANA","OBI-WAN",8
"EMPEROR","OBI-WAN",5
"OBI-WAN","SENATOR ASK AAK",1
"BAIL ORGANA","SENATOR ASK AAK",1
"BAIL ORGANA","JAR JAR",1
"SENATOR ASK AAK","YODA",1
"JAR JAR","YODA",1
"MACE WINDU","SENATOR ASK AAK",1
"JAR JAR","MACE WINDU",1
"JAR JAR","SENATOR ASK AAK",1
"MACE WINDU","PADME",2
"JAR JAR","ORN FREE TAA",1
"COUNT DOOKU","PADME",3
"COUNT DOOKU","JANGO FETT",1
"POGGLE","SUN RIT",2
"NUTE GUNRAY","SUN RIT",2
"NUTE GUNRAY","POGGLE",2
"OBI-WAN","SUN RIT",1
"OBI-WAN","POGGLE",1
"NUTE GUNRAY","OBI-WAN",1
"COUNT DOOKU","OBI-WAN",3
"ANAKIN","SUN RIT",1
"ANAKIN","POGGLE",1
"ANAKIN","NUTE GUNRAY",1
"ANAKIN","COUNT DOOKU",3
"PADME","SUN RIT",1
"COUNT DOOKU","SUN RIT",1
"PADME","POGGLE",1
"COUNT DOOKU","POGGLE",1
"COUNT DOOKU","NUTE GUNRAY",1
"COUNT DOOKU","MACE WINDU",2
"KI-ADI-MUNDI","PLO KOON",1
"COUNT DOOKU","YODA",2
"PADME","YODA",1
"COUNT DOOKU","EMPEROR",2
"EMPEROR","R2-D2",2
"OBI-WAN","R2-D2",12
"BAIL ORGANA","R2-D2",4
"R2-D2","YODA",1
"CAPTAIN ANTILLES","R2-D2",1
"OBI-WAN","ODD BALL",2
"ANAKIN","ODD BALL",2
"ANAKIN","EMPEROR",14
"GENERAL GRIEVOUS","OBI-WAN",2
"ANAKIN","GENERAL GRIEVOUS",1
"ANAKIN","BAIL ORGANA",2
"C-3PO","OBI-WAN",3
"C-3PO","EMPEROR",2
"BAIL ORGANA","C-3PO",3
"BAIL ORGANA","PADME",5
"BAIL ORGANA","FANG ZAR",2
"BAIL ORGANA","MON MOTHMA",2
"BAIL ORGANA","GIDDEAN DANU",1
"FANG ZAR","PADME",2
"FANG ZAR","MON MOTHMA",2
"FANG ZAR","GIDDEAN DANU",1
"MON MOTHMA","PADME",2
"GIDDEAN DANU","PADME",1
"GIDDEAN DANU","MON MOTHMA",1
"CAPTAIN TYPHO","PADME",2
"C-3PO","CAPTAIN TYPHO",2
"CLONE COMMANDER GREE","YODA",1
"CLONE COMMANDER CODY","OBI-WAN",2
"OBI-WAN","TION MEDON",1
"GENERAL GRIEVOUS","NUTE GUNRAY",1
"ANAKIN","CLONE COMMANDER CODY",1
"CLONE COMMANDER CODY","MACE WINDU",1
"CLONE COMMANDER CODY","YODA",1
"BAIL ORGANA","CAPTAIN ANTILLES",2
"BAIL ORGANA","QUI-GON",1
"C-3PO","YODA",1
"DARTH VADER","EMPEROR",1
"C-3PO","CAPTAIN ANTILLES",1